name,latitude,longitude,rating,number_of_reviews,affluence
"Jamal Store, Joykul Bazaar",22.604275,90.0947183,0.0,,
Salma Varaitis Store,22.6191581,90.1055945,5.0,1.0,
হাজী বিরিয়ানি হাউজ,22.2890455,89.95850859999999,5.0,1.0,
নিউ মুসলিম সুইটস এণ্ড বেকারি,22.288709899999997,89.9584821,5.0,4.0,
মেসার্স সততা হোটেল এন্ড রেস্টুরেন্ট,22.2867843,89.9581163,0.0,,
Sharif food fair,22.2898658,89.95911839999998,5.0,2.0,
সোহেল রানা কাটোল ফাম,22.2934922,89.9623161,5.0,1.0,
মেসার্স সৌখিন ষ্টীল এন্ড পার্টেক্স ফার্নিচার,22.285983899999998,89.95733,0.0,,
বাইতুস সালাম ইসলামিয়া মাদ্রাসা,22.2923938,89.96559300000001,4.5,2.0,
গৌরি হিন্দু হোটেল,22.2868867,89.9573051,0.0,,
মোঃরাছেল স্টোর,22.2920033,89.95804649999998,5.0,1.0,
Food Club The Caterer's,22.287912,89.95860949999998,4.5,8.0,
ক্যাফে আড্ডা মঠবাড়িয়া,22.2866676,89.9583631,3.9,165.0,$$
New Muslim Sweets & bekare,22.288717899999998,89.9587368,5.0,3.0,
মোঘল,22.2868615,89.9581927,4.3,3.0,
Star Kebab Plus,22.291455300000003,89.9591848,4.0,9.0,
"পুরাতন জিন্দেগী হোটেল, মঠবাড়িয়া",22.288214800000002,89.95836340000001,5.0,3.0,
Afzal Hotel,22.2867681,89.95792899999998,4.0,19.0,
Gazi Hotel And Restaurant,22.287545,89.9598745,4.3,3.0,
Ruposi Bangla hotel & Restaurant,22.287518300000002,89.95980369999998,5.0,1.0,
সুমাইয়া স্টোর,22.785417300000002,89.97449949999998,3.0,1.0,
Friend Coffee Zone,22.7867163,89.98134450000002,0.0,,
Nimai Store,22.780950100000002,90.0027338,0.0,,
প্রাণকেন্দ্র (পরিমল দার গুগলী টি স্টল),22.778710500000003,90.00189420000001,5.0,4.0,
Toma Traders,22.7419722,90.1026997,4.9,13.0,
রাকিব টি ষ্টোর,22.7579266,90.113214,0.0,,
ঘরোয়া (স্বরূপকাঠী),22.7452279,90.0989239,5.0,1.0,
হাসান টি শপ,22.7577924,90.1130427,1.0,1.0,
Nayem Restaurant,22.7474576,90.1027018,3.0,2.0,
নুরে ছারছীনার স্টোর,22.754043,90.1029105,1.0,1.0,
Touhid Tea Store,22.7461726,90.1036942,4.1,37.0,$
"দুলাল চটপটি,ফুসকা ও হালিম হাউস।",22.7461074,90.10359670000001,5.0,1.0,
মান্নু টি কর্নার,22.759541100000003,90.1142695,0.0,,
নেছারীয়া রেস্টুরেন্ট,22.746827800000002,90.1020869,5.0,1.0,
ছারছীনা লিল্লাহ বোডিং,22.7544734,90.1035582,5.0,1.0,
Cafe Treats ক্যাফে ট্রিট্স,22.7457041,90.1035346,4.6,5.0,
ছারছীনা মুসাফিরখানা,22.756095000000002,90.1037366,0.0,,
ছারছীনা মাহফিলের খাবার মাঠ,22.7578281,90.1036441,5.0,1.0,
ঢাকা বিরায়ানি হাউজ,22.745631699999997,90.1030767,5.0,2.0,
Kobita Fast Food,22.7359384,90.1092947,5.0,1.0,
Rajmoni Chotpoti & Fuchka রাজমনি চটপটি এন্ড ফুচকা,22.7460469,90.0990877,5.0,1.0,
Moharaj Hotel মহারাজ হোটেল,22.745777399999998,90.0985137,0.0,,
Inayat Restaurants,22.745757,90.1139,4.2,23.0,
ভাতের হোটেল,22.7457898,90.0986309,0.0,,
জাকির ভাই’র চটপটি,22.746789,90.1029354,5.0,2.0,
Emam's Restaurant,22.742489600000003,90.130355,3.0,2.0,
আক্কাস রেস্টুরেন্টে,22.7453971,90.0988431,5.0,3.0,
ছারছীনা মাদরাসা ক্যান্টিন ২ - Sarsina Madrasah Canteen 2,22.7553255,90.1004551,5.0,1.0,
patal Market,22.759863,90.124895,0.0,,
ছারছীনা মাদরাসা ক্যান্টিন - Sarsina Madrasah Canteen,22.7538109,90.1036225,0.0,,
নুরে আলম নিরব বিরানী হাউজ,22.7499114,90.0982621,5.0,5.0,
Jamai Tea Stall,22.7425919,90.1100046,3.0,1.0,
Sheikh Ruqaiya,22.7642843,90.1177386,0.0,,
Sokal Shondha Sweetmeat সকাল সন্ধ্যা সুইটমিট,22.7463025,90.10350550000001,5.0,1.0,
Picnic Park,22.7458343,90.09830090000001,3.7,3.0,
সিফাত স্টোর,22.744967000000003,90.0988096,3.0,1.0,
JAHID TEA STORE,22.754913000000002,90.099714,2.5,2.0,
